poe,date,time,lane_id,vehicle_num,time_waited,processing_time,colour,class_id
Ambassador Bridge,2025-04-08,11:43,1,72,469,17,NA,car
Ambassador Bridge,2025-04-08,12:03,3,148,250,37,NA,car
Ambassador Bridge,2025-04-08,12:28,4,130,322,62,NA,car
Ambassador Bridge,2025-04-08,12:35,1,108,373,47,NA,car
Ambassador Bridge,2025-04-08,12:45,2,126,344,79,NA,car
Ambassador Bridge,2025-04-08,13:20,2,125,380,29,NA,car
Ambassador Bridge,2025-04-08,13:36,3,164,281,87,NA,car
Ambassador Bridge,2025-04-08,14:03,2,169,292,38,NA,car
Ambassador Bridge,2025-04-08,14:14,4,170,298,101,NA,car
Ambassador Bridge,2025-04-08,14:15,1,143,387,77,NA,car
Ambassador Bridge,2025-04-08,14:20,3,183,231,39,NA,car
Ambassador Bridge,2025-04-08,14:37,2,168,326,28,NA,car
Ambassador Bridge,2025-04-08,15:07,4,193,225,47,NA,car
Ambassador Bridge,2025-04-08,15:12,3,206,186,46,NA,car
Ambassador Bridge,2025-04-08,15:49,2,217,163,66,NA,car
Ambassador Bridge,2025-04-08,15:50,3,207,222,33,NA,car
Ambassador Bridge,2025-04-08,16:07,4,196,280,54,NA,car
Ambassador Bridge,2025-04-08,16:21,1,211,222,120,NA,car
Ambassador Bridge,2025-04-08,16:23,2,228,140,28,NA,car
Ambassador Bridge,2025-04-08,17:03,2,230,173,34,NA,car
Ambassador Bridge,2025-04-08,17:09,3,215,260,73,NA,car
Ambassador Bridge,2025-04-08,17:39,2,247,113,30,NA,car
Ambassador Bridge,2025-04-08,17:46,4,233,206,94,NA,car
Ambassador Bridge,2025-04-08,18:08,3,235,225,54,NA,car
Ambassador Bridge,2025-04-08,18:11,2,249,141,26,NA,car
Ambassador Bridge,2025-04-08,18:57,2,262,152,41,NA,car
Ambassador Bridge,2025-04-08,19:23,2,271,140,20,NA,car
Ambassador Bridge,2025-04-08,20:09,3,248,261,115,NA,car
Ambassador Bridge,2025-04-08,20:19,4,254,256,147,NA,car
Ambassador Bridge,2025-04-08,20:43,2,275,210,75,NA,car
Ambassador Bridge,2025-04-08,20:54,3,274,226,40,NA,car
Ambassador Bridge,2025-04-08,20:58,1,214,491,264,NA,car
Ambassador Bridge,2025-04-08,21:13,2,289,177,24,NA,car
Ambassador Bridge,2025-04-08,21:50,4,279,252,85,NA,car
Ambassador Bridge,2025-04-08,22:13,2,290,235,55,NA,car
Ambassador Bridge,2025-04-08,22:48,2,293,218,29,NA,car
Ambassador Bridge,2025-04-08,23:09,3,287,298,127,NA,car
Ambassador Bridge,2025-04-08,23:41,4,314,206,105,NA,car
Ambassador Bridge,2025-04-08,24:11,3,356,57,47,NA,car
Ambassador Bridge,2025-04-08,24:42,3,297,326,25,NA,car
Ambassador Bridge,2025-04-08,24:51,2,301,314,117,NA,car
Ambassador Bridge,2025-04-08,25:00,4,337,192,73,NA,car
Ambassador Bridge,2025-04-08,25:26,3,353,151,39,NA,car
Ambassador Bridge,2025-04-08,26:25,3,344,254,53,NA,car
Ambassador Bridge,2025-04-08,26:30,1,231,739,327,NA,car
Ambassador Bridge,2025-04-08,26:35,4,338,281,90,NA,car
Ambassador Bridge,2025-04-08,26:50,2,321,360,113,NA,car
Ambassador Bridge,2025-04-08,27:32,4,372,158,52,NA,car
Ambassador Bridge,2025-04-08,27:40,3,364,200,70,NA,car
Ambassador Bridge,2025-04-08,28:45,4,383,135,67,NA,car
Ambassador Bridge,2025-04-08,29:17,3,367,289,92,NA,car
Ambassador Bridge,2025-04-08,30:32,1,244,903,231,NA,car
Ambassador Bridge,2025-04-08,30:33,3,376,300,70,NA,car
Ambassador Bridge,2025-04-08,30:43,2,346,504,228,NA,car
Ambassador Bridge,2025-04-08,30:56,3,395,196,18,NA,car
Ambassador Bridge,2025-04-08,31:06,4,384,272,135,NA,car
Ambassador Bridge,2025-04-08,31:19,1,355,487,41,NA,car
Ambassador Bridge,2025-04-08,31:33,2,351,548,44,NA,car
Ambassador Bridge,2025-04-08,31:44,3,382,315,43,NA,car
Ambassador Bridge,2025-04-08,32:11,2,373,437,33,NA,car
Ambassador Bridge,2025-04-08,32:31,4,393,296,79,NA,car
Ambassador Bridge,2025-04-08,32:37,2,386,347,20,NA,car
Ambassador Bridge,2025-04-08,32:57,3,410,220,67,NA,car
Ambassador Bridge,2025-04-08,33:01,1,417,104,94,NA,truck
Ambassador Bridge,2025-04-08,33:23,4,403,323,46,NA,car
Ambassador Bridge,2025-04-08,33:25,2,374,510,43,NA,truck
Ambassador Bridge,2025-04-08,33:32,3,411,177,30,NA,car
Ambassador Bridge,2025-04-08,34:01,2,387,428,31,NA,truck
Ambassador Bridge,2025-04-08,34:16,3,422,149,39,NA,car
Ambassador Bridge,2025-04-08,34:23,4,408,332,54,NA,car
Ambassador Bridge,2025-04-08,34:45,3,416,219,23,NA,car
Ambassador Bridge,2025-04-08,35:15,4,427,161,46,NA,car
Ambassador Bridge,2025-04-08,35:38,3,429,158,47,NA,car
Ambassador Bridge,2025-04-08,35:55,1,414,307,162,NA,car
Ambassador Bridge,2025-04-08,36:04,4,438,160,44,NA,car
Ambassador Bridge,2025-04-08,37:41,3,442,250,118,NA,car
Ambassador Bridge,2025-04-08,37:46,1,436,265,47,NA,car
Ambassador Bridge,2025-04-08,37:46,2,421,365,219,NA,car
Ambassador Bridge,2025-04-08,38:14,2,428,335,22,NA,car
Ambassador Bridge,2025-04-08,38:38,3,460,235,51,NA,car
Ambassador Bridge,2025-04-08,38:46,2,440,320,26,NA,car
Ambassador Bridge,2025-04-08,39:34,1,471,214,98,NA,car
Ambassador Bridge,2025-04-08,40:16,2,445,392,85,NA,car
Ambassador Bridge,2025-04-08,40:46,2,486,165,25,NA,car
Ambassador Bridge,2025-04-08,40:59,3,457,392,135,NA,car
Ambassador Bridge,2025-04-08,41:18,4,441,469,309,NA,car
Ambassador Bridge,2025-04-08,41:23,2,490,180,31,NA,car
Ambassador Bridge,2025-04-08,42:10,2,495,198,42,NA,car
Ambassador Bridge,2025-04-08,42:10,3,462,440,65,NA,car
Ambassador Bridge,2025-04-08,43:00,1,478,369,200,NA,car
Ambassador Bridge,2025-04-08,43:24,2,509,187,64,NA,car
Ambassador Bridge,2025-04-08,43:30,3,482,349,75,NA,car
Ambassador Bridge,2025-04-08,44:13,4,456,586,169,NA,car
Ambassador Bridge,2025-04-08,44:15,2,512,206,46,NA,car
Ambassador Bridge,2025-04-08,44:26,3,535,58,48,NA,car
Ambassador Bridge,2025-04-08,44:40,1,481,419,95,NA,car
Ambassador Bridge,2025-04-08,45:03,2,516,213,42,NA,car
Ambassador Bridge,2025-04-08,45:27,4,474,559,69,NA,car
Ambassador Bridge,2025-04-08,45:44,2,525,211,36,NA,car
Ambassador Bridge,2025-04-08,46:20,3,494,453,108,NA,car
Ambassador Bridge,2025-04-08,46:55,4,475,643,82,NA,car
Ambassador Bridge,2025-04-08,47:07,2,534,228,77,NA,car
Ambassador Bridge,2025-04-08,47:27,4,554,124,26,NA,car
Ambassador Bridge,2025-04-08,47:28,3,524,316,63,NA,car
Ambassador Bridge,2025-04-08,47:49,2,544,211,37,NA,car
Ambassador Bridge,2025-04-08,48:25,3,537,296,51,NA,car
Ambassador Bridge,2025-04-08,48:36,2,553,213,41,NA,car
Ambassador Bridge,2025-04-08,48:42,4,566,149,69,NA,car
Ambassador Bridge,2025-04-08,49:14,2,560,207,32,NA,car
Ambassador Bridge,2025-04-08,49:39,3,548,310,69,NA,car
Ambassador Bridge,2025-04-08,49:47,2,570,160,27,NA,car
Ambassador Bridge,2025-04-08,50:20,4,569,196,93,NA,car
Ambassador Bridge,2025-04-08,50:44,2,573,172,52,NA,car
Ambassador Bridge,2025-04-08,51:05,3,567,285,80,NA,car
Ambassador Bridge,2025-04-08,52:00,3,571,269,50,NA,car
Ambassador Bridge,2025-04-08,52:30,2,577,233,100,NA,car
Ambassador Bridge,2025-04-08,52:47,3,603,100,41,NA,car
Ambassador Bridge,2025-04-08,53:24,3,592,220,32,NA,car
Ambassador Bridge,2025-04-08,53:25,2,584,248,50,NA,car
Ambassador Bridge,2025-04-08,54:06,2,594,257,35,NA,car
Ambassador Bridge,2025-04-08,54:17,1,499,898,562,NA,car
Ambassador Bridge,2025-04-08,54:34,3,606,158,65,NA,car
Ambassador Bridge,2025-04-08,54:41,2,595,288,30,NA,car
Ambassador Bridge,2025-04-08,55:05,2,600,257,18,NA,car
Ambassador Bridge,2025-04-08,55:53,2,614,143,42,NA,car
Ambassador Bridge,2025-04-08,56:17,3,608,250,97,NA,car
Ambassador Bridge,2025-04-08,56:21,2,616,130,23,NA,car
Ambassador Bridge,2025-04-08,58:03,2,618,221,96,NA,car
Ambassador Bridge,2025-04-08,59:04,4,572,691,518,NA,car
Ambassador Bridge,2025-04-08,59:20,3,609,433,178,NA,car
